,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,1.7010921478271483,0.8832097570910531,0.035440373420715335,0.026388885552417602,0.1,0.01,2,5,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 100}",-69.67099198586115,-18.449869994970253,-73.50594976131663,-214.0898106259971,-449.4047853330725,-324.19424886325913,-824.7495652726503,-287.5566816381564,-1749.3379052284681,-1447.681374279039,-545.864118298279,574.690124396423,106,-0.13224010448708118,-4.228591892180874,-6.533852018442602,-10.615008125081038,-22.085800080092405,-45.037689483865314,-67.83113329253575,-109.91694336167787,-123.774762734659,-190.02328865939873,-58.017930975242066,60.94298991184466
1,5.496318244934082,2.2948225553437838,0.030892705917358397,0.012812143025032767,0.1,0.01,2,5,300,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 300}",-63.00706754987612,-0.4587541441733265,-31.592600289203816,-86.75073850948964,-191.16568382232998,-50.08165230588851,-108.67569499677651,-21.006082479692505,-275.88690030861045,-115.81873153904407,-94.44439059450848,80.08006492518794,76,-0.01226337932711082,-0.17890820090812473,-0.2482438310382438,-0.39732243371106124,-0.8419228502138935,-1.8997195543847467,-2.7604454940311753,-4.144183932439431,-4.8173153080900235,-6.920261110616013,-2.222058609475982,2.2601954094819554
2,2.0590161323547362,0.7802124817662415,0.0457878828048706,0.043615241105245804,0.1,0.01,2,10,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'n_estimators': 100}",-69.67099198586115,-18.449869994970253,-73.50594976131663,-214.0898106259971,-449.4047853330725,-324.19424886325913,-824.7495652726503,-287.5566816381564,-1749.3379052284681,-1447.681374279039,-545.864118298279,574.690124396423,106,-0.13224010448708118,-4.228591892180874,-6.533852018442602,-10.615008125081038,-22.085800080092405,-45.037689483865314,-67.83113329253575,-109.91694336167787,-123.774762734659,-190.02328865939873,-58.017930975242066,60.94298991184466
3,5.353718662261963,2.2490107661138516,0.02963848114013672,0.010599677036539636,0.1,0.01,2,10,300,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'n_estimators': 300}",-63.00706754987612,-0.4587541441733265,-31.592600289203816,-86.75073850948964,-191.16568382232998,-50.08165230588851,-108.67569499677651,-21.006082479692505,-275.88690030861045,-115.81873153904407,-94.44439059450848,80.08006492518794,76,-0.01226337932711082,-0.17890820090812473,-0.2482438310382438,-0.39732243371106124,-0.8419228502138935,-1.8997195543847467,-2.7604454940311753,-4.144183932439431,-4.8173153080900235,-6.920261110616013,-2.222058609475982,2.2601954094819554
4,2.123773717880249,0.9897451760836268,0.035108327865600586,0.01010693402577658,0.1,0.01,2,15,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 15, 'n_estimators': 100}",-69.67099198586115,-18.449869994970253,-73.50594976131663,-214.0898106259971,-449.4047853330725,-324.19424886325913,-824.7495652726503,-287.5566816381564,-1749.3379052284681,-1447.681374279039,-545.864118298279,574.690124396423,106,-0.13224010448708118,-4.228591892180874,-6.533852018442602,-10.615008125081038,-22.085800080092405,-45.037689483865314,-67.83113329253575,-109.91694336167787,-123.774762734659,-190.02328865939873,-58.017930975242066,60.94298991184466
5,5.218475127220154,2.1924490161270245,0.06123685836791992,0.05413113729983303,0.1,0.01,2,15,300,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 15, 'n_estimators': 300}",-63.00706754987612,-0.4587541441733265,-31.592600289203816,-86.75073850948964,-191.16568382232998,-50.08165230588851,-108.67569499677651,-21.006082479692505,-275.88690030861045,-115.81873153904407,-94.44439059450848,80.08006492518794,76,-0.01226337932711082,-0.17890820090812473,-0.2482438310382438,-0.39732243371106124,-0.8419228502138935,-1.8997195543847467,-2.7604454940311753,-4.144183932439431,-4.8173153080900235,-6.920261110616013,-2.222058609475982,2.2601954094819554
6,3.2488115787506104,1.3138052706168564,0.05146260261535644,0.03724406603359697,0.1,0.01,3,5,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100}",-68.5099026595725,-16.135515012475928,-65.75586753312798,-193.13506857836796,-394.28003813942604,-270.70488789034846,-601.8888571758143,-247.6122866802795,-1249.7343503373372,-1070.5381646785765,-417.8294938685326,407.55023311604975,91,-0.11909290689362602,-3.8210440774538896,-6.023060892312402,-9.54598437143349,-19.85774203674229,-38.714732510440825,-56.93656754836604,-94.01726307630878,-105.6622548456177,-165.9860380760906,-50.06837803416596,52.69122194382371
7,9.574893522262574,3.4533954180158606,0.040567445755004886,0.008837771390208075,0.1,0.01,3,5,300,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300}",-63.259149211201375,-0.2941988928698808,-26.9459257971529,-73.50786770501743,-163.82915839299852,-29.967260840954083,-56.08168577155988,-12.60361478301122,-128.68402169302175,-54.19552216459281,-60.936840525238,48.51502779548232,63,-0.010524826810577037,-0.11837448717608029,-0.18275866163202217,-0.2663783898600628,-0.5574208264184043,-1.1458129829179144,-1.5958049547058104,-2.5269464632408596,-2.8817093258689495,-4.196706315052418,-1.3482437233683098,1.3569495154521178
8,3.713862681388855,1.4893684083873502,0.04388039112091065,0.030699301070184492,0.1,0.01,3,10,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100}",-68.5099026595725,-16.135515012475928,-65.75586753312798,-193.13506857836796,-394.28003813942604,-270.70488789034846,-601.8888571758143,-247.6122866802795,-1249.7343503373372,-1070.5381646785765,-417.8294938685326,407.55023311604975,91,-0.11909290689362602,-3.8210440774538896,-6.023060892312402,-9.54598437143349,-19.85774203674229,-38.714732510440825,-56.93656754836604,-94.01726307630878,-105.6622548456177,-165.9860380760906,-50.06837803416596,52.69122194382371
9,9.382651376724244,3.4177112232383373,0.05721933841705322,0.04374741373338619,0.1,0.01,3,10,300,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 300}",-63.22878569670465,-0.2941988928698808,-26.9459257971529,-73.50786770501743,-163.82915839299852,-29.967260840954083,-56.08168577155988,-12.60361478301122,-128.68402169302175,-54.19552216459281,-60.93380417378832,48.51488330688432,62,-0.010555549022836426,-0.11837448717608029,-0.18275866163202217,-0.2663783898600628,-0.5574208264184043,-1.1458129829179144,-1.5958049547058104,-2.5269464632408596,-2.8817093258689495,-4.196706315052418,-1.3482467955895359,1.3569464867981742
